investor_name,asset_name,units,acquired_at
CalPERS,SIF Alpha Class A,120000,2025-06-15
CalPERS,RAIF Beta Class A,300000,2025-07-01
CalPERS,QIAIF Delta Inst,95000,2025-09-10
Norges Bank Investment Management,RAIF Beta Class A,550000,2025-03-20
Norges Bank Investment Management,QIAIF Delta Inst,180000,2025-05-15
Norges Bank Investment Management,Spezial Gamma Class B,450000,2025-08-01
Allianz Global Investors,SIF Alpha Class A,200000,2025-04-10
Allianz Global Investors,Spezial Gamma Class A,280000,2025-06-20
Allianz Global Investors,ELTIF Epsilon Pro,150000,2025-11-01
Temasek Holdings,RAIF Beta Class A,400000,2025-05-01
Temasek Holdings,QIAIF Delta Inst,220000,2025-07-15
Dublin Capital Partners,SIF Alpha Class A,80000,2025-08-20
Dublin Capital Partners,QIAIF Delta Class B,50000,2025-10-05
Rothschild & Co Wealth Management,SIF Alpha Class B,80000,2025-04-01
Rothschild & Co Wealth Management,RAIF Beta Feeder,100000,2025-06-15
Baillie Gifford & Co,RAIF Beta Class A,250000,2025-03-10
Baillie Gifford & Co,ELTIF Epsilon Pro,200000,2025-09-20
Lombard Odier Group,SIF Alpha Class B,120000,2025-05-15
Lombard Odier Group,Spezial Gamma Class A,150000,2025-07-01
Tikehau Capital,RAIF Beta Feeder,120000,2025-06-01
Tikehau Capital,Spezial Gamma Class A,200000,2025-08-15
Chen Wei Investment Ltd,QIAIF Delta Inst,130000,2025-09-01
Chen Wei Investment Ltd,RAIF Beta Class A,100000,2025-07-20
Dr. Sarah Bennett,SIF Alpha Class A,50000,2025-10-01
Dr. Sarah Bennett,ELTIF Epsilon Pro,80000,2025-11-15
Klaus Schmidt,Spezial Gamma Class A,180000,2025-04-20
Klaus Schmidt,ELTIF Epsilon Retail,500000,2025-12-01
Erik Nordström,SIF Alpha Class A,60000,2025-06-10
Erik Nordström,RAIF Beta Feeder,80000,2025-08-01
Hans Weber,Spezial Gamma Class A,220000,2025-03-15
Hans Weber,Spezial Gamma Class B,350000,2025-05-20
Mueller Family Office,Spezial Gamma Class B,600000,2025-04-01
Mueller Family Office,ELTIF Epsilon Retail,300000,2025-10-15
Van der Berg Holding,RAIF Beta Class A,180000,2025-07-10
Van der Berg Holding,SIF Alpha Class A,40000,2025-09-01
Dr. Sofia Papadopoulos,ELTIF Epsilon Retail,400000,2025-11-20
Dr. Sofia Papadopoulos,SIF Alpha Class A,30000,2025-08-15
Henrik Lindqvist,ELTIF Epsilon Retail,250000,2025-12-10
Margaret Chen-Williams,ELTIF Epsilon Pro,120000,2025-09-15
Margaret Chen-Williams,RAIF Beta Feeder,60000,2025-10-20
Thomas Keller,ELTIF Epsilon Retail,800000,2025-06-01
Amelie Dubois,ELTIF Epsilon Retail,600000,2025-07-15
Anna Kowalski,ELTIF Epsilon Retail,200000,2025-11-01
Li Wei Zhang,ELTIF Epsilon Retail,150000,2025-05-10
Marie Laurent,ELTIF Epsilon Retail,450000,2025-08-20
Miguel Santos,ELTIF Epsilon Retail,300000,2025-09-30
